sudoku.cpp:0:  No copyright message found.  You should have a line: "Copyright [year] <Copyright Owner>"  [legal/copyright] [5]
sudoku.cpp:1:  Include the directory when naming header files  [build/include_subdir] [4]
sudoku.cpp:7:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
sudoku.cpp:8:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:8:  Should have a space between // and comment  [whitespace/comments] [4]
sudoku.cpp:9:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:10:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:10:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
sudoku.cpp:10:  Missing space before {  [whitespace/braces] [5]
sudoku.cpp:11:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:12:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:13:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:15:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:15:  Should have a space between // and comment  [whitespace/comments] [4]
sudoku.cpp:16:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:17:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:18:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:19:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:21:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:21:  Should have a space between // and comment  [whitespace/comments] [4]
sudoku.cpp:22:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:23:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:24:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:25:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:25:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
sudoku.cpp:25:  Missing space before {  [whitespace/braces] [5]
sudoku.cpp:26:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:27:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:27:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
sudoku.cpp:27:  Missing space before {  [whitespace/braces] [5]
sudoku.cpp:28:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:29:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:30:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:31:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:32:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:35:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
sudoku.cpp:35:  Missing space after ,  [whitespace/comma] [3]
sudoku.cpp:35:  Is this a non-const reference? If so, make const or use a pointer: int& row  [runtime/references] [2]
sudoku.cpp:35:  Is this a non-const reference? If so, make const or use a pointer: int& col  [runtime/references] [2]
sudoku.cpp:36:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:37:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:38:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:39:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:40:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:41:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:42:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:43:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:44:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:45:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:48:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:49:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:50:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:51:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:52:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:53:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:54:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:55:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:55:  Should have a space between // and comment  [whitespace/comments] [4]
sudoku.cpp:56:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:56:  Missing space after ,  [whitespace/comma] [3]
sudoku.cpp:58:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:59:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:60:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:62:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:63:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:65:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:66:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:67:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:69:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:70:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:71:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:72:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:73:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:74:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:75:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:78:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
sudoku.cpp:79:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
sudoku.cpp:80:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:81:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:82:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:83:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:86:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
sudoku.cpp:87:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:87:  Should have a space between // and comment  [whitespace/comments] [4]
sudoku.cpp:88:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:89:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:89:  Should have a space between // and comment  [whitespace/comments] [4]
sudoku.cpp:90:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:91:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:92:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:94:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:94:  Should have a space between // and comment  [whitespace/comments] [4]
sudoku.cpp:95:  Tab found; better to use spaces  [whitespace/tab] [1]
