sudoku.cpp:4:  Include the directory when naming header files  [build/include_subdir] [4]
sudoku.cpp:6:  <chrono> is an unapproved C++11 header.  [build/c++11] [5]
sudoku.cpp:38:  Is this a non-const reference? If so, make const or use a pointer: int& row  [runtime/references] [2]
sudoku.cpp:38:  Is this a non-const reference? If so, make const or use a pointer: int& col  [runtime/references] [2]
sudoku.cpp:108:  Should have a space between // and comment  [whitespace/comments] [4]
sudoku.cpp:143:  Consider using rand_r(...) instead of rand(...) for improved thread safety.  [runtime/threadsafe_fn] [2]
sudoku.cpp:147:  Consider using rand_r(...) instead of rand(...) for improved thread safety.  [runtime/threadsafe_fn] [2]
sudoku.cpp:148:  Consider using rand_r(...) instead of rand(...) for improved thread safety.  [runtime/threadsafe_fn] [2]
sudoku.cpp:155:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
sudoku.cpp:161:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
sudoku.cpp:162:  Should have a space between // and comment  [whitespace/comments] [4]
sudoku.cpp:165:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
sudoku.cpp:165:  If an else has a brace on one side, it should have it on both  [readability/braces] [5]
sudoku.cpp:166:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
sudoku.cpp:167:  Should have a space between // and comment  [whitespace/comments] [4]
sudoku.cpp:176:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
sudoku.cpp:186:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
sudoku.cpp:186:  If an else has a brace on one side, it should have it on both  [readability/braces] [5]
sudoku.cpp:195:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
sudoku.cpp:195:  Missing spaces around >>  [whitespace/operators] [3]
sudoku.cpp:195:  Missing space after ,  [whitespace/comma] [3]
sudoku.cpp:196:  Missing space after ,  [whitespace/comma] [3]
sudoku.cpp:198:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
sudoku.cpp:215:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
sudoku.cpp:219:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
sudoku.cpp:240:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
sudoku.cpp:240:  If an else has a brace on one side, it should have it on both  [readability/braces] [5]
sudoku.cpp:244:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
sudoku.cpp:246:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
sudoku.cpp:246:  If an else has a brace on one side, it should have it on both  [readability/braces] [5]
sudoku.cpp:247:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
sudoku.cpp:252:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
sudoku.cpp:261:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
sudoku.cpp:261:  If an else has a brace on one side, it should have it on both  [readability/braces] [5]
sudoku.cpp:267:  Should have a space between // and comment  [whitespace/comments] [4]
sudoku.cpp:270:  Should have a space between // and comment  [whitespace/comments] [4]
sudoku.cpp:274:  Could not find a newline character at the end of the file.  [whitespace/ending_newline] [5]
